ПЛП;Наименование объект;Номер акта отбора проб;Дата отбора проб;Место отбора проб;Лицо, предоставившее пробу;Дата поступления материала;Наименование материала;Документ о качестве;Предприятие-изготовитель;Номер протокола;Дата протокола;Результат испытаний;Примечание
ПЛП 3;РЕК М-4 км 933-км 1024;№01/07-SMA16;01.07.2026;АБЗ;ГЛК;01.07.2026;АБС SMA-16 по ГОСТ Р 58401.2;-;ООО Трансстроймеханизация;№01/07-SMA16;02.07.2026;Соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№06/07-ОМС;06.07.2026;ТР. развязка КМ 982, съезд№2 ПК 6+00;ГЛК;06.07.2026;ОМС 32 К по ГОСТ Р 70197.1;-;ООО Трансстроймеханизация;№06/07-ОМС;08.07.2026;Соответствует;
ПЛП 5;РЕК М-1 км 33 ? км 84 (IV ПК км 66-км 84);683-1;22.06.2026;Временная база км 73, ЦБЗ;ГСК;06.07.2026;Бетонные образцы-кубы;-;ООО ТСМ ПРОМБАЗА;683-1;20.07.2026;Соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№01/07-SP 32Э;01.07.2026;АБЗ;ГЛК;01.07.2026;АБС SP-32Э по ГОСТ Р 58401.1;-;ООО Трансстроймеханизация;№01/07-SP 32Э;02.07.2026;Соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№28/06- SP 32;28.06.2026;АБЗ;ГЛК;28.06.2026;АБС SP-32Э по ГОСТ Р 58401.1;-;ООО Трансстроймеханизация;№28/06- SP 32;29.06.2026;Соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№22/06-ОМС;22.06.2026;ППЧ, ПК 10020+00;ГЛК;22.06.2026;ОМС 32 К по ГОСТ Р 70197.1;-;ООО Трансстроймеханизация;№22/06-ОМС;29.06.2026;Соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№01/07-Щ-2;01.07.2026;Штабель АБЗ;ГЛК;01.07.2026;Щебень фр. 22,4-31,5 мм по ГОСТ 32703;-;ООО Трансстроймеханизация;№01/07-Щ-2;02.07.2026;Соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№30/06-Щ-2;30.06.2026;Штабель АБЗ;ГЛК;30.06.2026;Щебень фр. 4-8 мм по ГОСТ 32703;-;ООО Трансстроймеханизация;№30/06-Щ-2;01.07.2026;Соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№26/06-Щ;26.06.2026;Штабель АБЗ;ГЛК;26.06.2026;Щебень фр. 4-8 мм по ГОСТ 32703;-;ООО Трансстроймеханизация;№26/06-Щ;27.06.2026;Соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№28/06-Щ-2;28.06.2026;Штабель АБЗ;ГЛК;28.06.2026;Щебень фр. 16-22,4 мм по ГОСТ 32703;-;ООО Трансстроймеханизация;№28/06-Щ-2;29.06.2026;Соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№02/07-Щ;02.07.2026;Штабель АБЗ;ГЛК;02.07.2026;Щебень фр. 8-16 мм по ГОСТ 32703;-;ООО Трансстроймеханизация;№02/07-Щ;03.07.2026;Соответствует;
ПЛП 3;РЕК М-4 км 933-км 1024;№11/06-В 7,5;11.06.2026;ПК 10024+37;ГЛК;11.06.2026;Бетонные образцы-кубы;-;ООО Трансстроймеханизация;№11/06-В 7,5;09.07.2026;Соответствует;
ПЛП 6;РЕК М3 км 86-124 II ПК;15.07/26-К-01;15.07.2026;(ПК 287+20 - ПК 287+45) ОХ право 7м от оси.;ГСК;15.07.2026;Керны АБ к/з пл. тип Б М I по ГОСТ 9128;-;ООО Строительное управление №910;15.07/26-К-01;17.07.2026;Не соответствует;(определение границ).
ПЛП 6;РЕК М3 км 86-124 II ПК;15.07/26-К-02;15.07.2026;(ПК 287+20 - ПК 287+45) ОХ право ;ГСК;15.07.2026;Керны АБ к/з пл. тип Б М I по ГОСТ 9128;-;ООО Строительное управление №910;15.07/26-К-02;17.07.2026;Соответствует;(определение границ).
ПЛП 6;РЕК М3 км 86-124 II ПК;15.07/26-02;15.07.2026;к-p Спас-Загорье ;ГЛК;15.07.2026;Песок по ГОСТ 8736;-;Карьер Спас-Загорье;15.07/26-02;17.07.2026;Соответствует;
