ПЛП;Наименование объект;Номер акта отбора проб;Дата отбора проб;Место отбора проб;Лицо, предоставившее пробу;Дата поступления материала;Наименование материала;Документ о качестве;Предприятие-изготовитель;Номер протокола;Дата протокола;Результат испытаний;Примечание
ПЛП 5;КР М4 км 103-км 117;24;07.01.2025;ПК1164+40, ПК1171+00 (5 полоса, прямое направление);ГСК;14.01.2025;Керны АБ SP-32Э по ГОСТ Р 58401.1;-;;15/01/25/1АБ/1025/М4;15.01.2025;Соответствует;
ПЛП 5;КР М4 км 103-км 117;21;05.01.2025;ПК1171+00 (прямое направление, 5 полоса), шнек асфальтоукладчика;ГСК;09.01.2025;ОМС 32 К по ГОСТ Р 70197.1;-;ООО ТрансСтройМеханизация;14/01/25/1/2025/М-4;14.01.2025;Соответствует;
ПЛП 5;КР М4 км 103-км 117;28;27.01.2025;Штабель складирования на производственной базе ТСМ;ГСК;28.01.2025;Песок по ГОСТ 32824;-;ООО Тульский известняк;30/01/25/1П/1025/М-4;30.01.2025;Соответствует;
ПЛП 5;КР М4 км 103-км 117;16;18.12.2024;ПК1153+97 - ПК1157+40 (Разделительная полоса);ГСК;18.12.2024;Бетонные образцы-кубы;-;ОАО Агросервис;15/01/25/B20/1025/М-4;15.01.2025;Соответствует;
ПЛП 5;КР М4 км 103-км 117;28;21.01.2025;ПК1141+00;ГСК;28.01.2025;Бетонные образцы-кубы;-;ООО ТрансСтройМеханизация;30/01/25/B30/1025/М-4;30.01.2025;Соответствует;
ПЛП 5;КР М4 км 103-км 117;27;24.01.2025;ПК1162+01 - ПК1165+16 (Разделительная полоса);ГСК;28.01.2025;Бетонные образцы-кубы;-;ОАО Агросервис;31/01/25/B20/1/1025/М-4;31.01.2025;Соответствует;
ПЛП 5;КР М4 км 103-км 117;29;28.01.2025;Штабель складирования на производственной базе ТСМ;ГСК;28.01.2025;ЩПС С-4 по ГОСТ 25607;-;АО Щебёночный завод Турдейский;30/01/25/1Щ/1025/М-4;30.01.2025;Соответствует;
ПЛП 2;СТР Обход Адлера;1002/-БЕТ;10.02.2025;Разворотный путепровод через А-149, ОП5 БНС4;ГЛК;21.02.2025;Бетонные образцы-кубы;-;ООО СОЮЗ;13/574;21.02.2025;Соответствует;
ПЛП 2;СТР Обход Адлера;2612/-БЕТ2;26.12.2024;Восточный портал восточного комплекса, БНС16;ГЛК;26.12.2024;Бетонные образцы-кубы;-;ООО СОЮЗ;1-574;23.01.2025;Соответствует;
ПЛП 2;СТР Обход Адлера;1102/-БЕТ;11.02.2025;Разворотный путепровод через А-149, ОП8 стойка 1 этап;ГЛК;21.02.2025;Бетонные образцы-кубы;-;ООО ГК ПЕГАС;14/574;21.02.2025;Соответствует;
ПЛП 5;КР М4 км 103-км 117;28;27.01.2025;Штабель складирования на производственной базе ТСМ;ГСК;28.01.2025;Бетонные образцы-кубы;-;ООО ТрансСтройМеханизация;18/02/25/B30/1/1025/М-4;18.02.2025;Соответствует;
ПЛП 5;КР М4 км 103-км 117;28;21.01.2025;ПК1141+00;ГСК;28.01.2025;Бетонные образцы-кубы;-;ООО ТрансСтройМеханизация;18/02/25/В30/1/1025;18.02.2025;Соответствует;
ПЛП 2;СТР Обход Адлера;1102/-БЕТ2;11.02.2025;Мостовой переход через р. Кудепста ОПL04 БНС3;ГЛК;21.02.2025;Бетонные образцы-кубы;-;ООО СОЮЗ;15/574;21.02.2025;Соответствует;
ПЛП 2;СТР Обход Адлера;1202/-БЕТ;12.02.2025;Разворотный путепровод через А-149, ОП6 Ростверк;ГЛК;21.02.2025;Бетонные образцы-кубы;-;ООО ГК ПЕГАС;16/574;21.02.2025;Соответствует;
ПЛП 5;КР М4 км 103-км 117;27;24.01.2025;ПК1162+01 - ПК1165+16 (Разделительная полоса);ГСК;28.01.2025;Бетонные образцы-кубы;-;ОАО Агросервис;21/02/25/B20/1/1025/М-4;21.02.2025;Соответствует;
ПЛП 5;СТР М-1 км 84 ? км 132 , ТР км 86;86/96;24.12.2024;ПК 862+69 лево;ГСК;22.01.2025;Грунт в кольцах ;-;;24/01/25/1К/2427/М-1;24.01.2025;Соответствует;
ПЛП 5;СТР М-1 км 84 ? км 132 , ТР км 86;86/97;15.01.2025;ПК 870+50 право;ГСК;22.01.2025;Песок по ГОСТ 8736;-;ООО Строй-Трейд;24/01/25/1П/2427/М-1;24.01.2025;Соответствует;
ПЛП 5;СТР М-1 км 84 ? км 132 , ТР км 86;86/99;17.01.2025;ПК 870+50 право;ГСК;22.01.2025;Песок по ГОСТ 8736;-;ООО Строй-Трейд;24/01/25/2П/2427/М-1;24.01.2025;Соответствует;
ПЛП 5;СТР М-1 км 84 ? км 132 , ТР км 86;86/98;15.01.2025;ПК 871+45 лево;ГСК;22.01.2025;Грунт в кольцах ;-;;24/01/25/2К/2427/М-1;24.01.2025;Соответствует;
ПЛП 5;КР М4 км 103-км 117;33;06.02.2025;Штабель складирования на производственной базе ТСМ;ГСК;11.02.2025;Песок по ГОСТ 32824;-;ООО Юг;12/02/25/1П/1025/М-4;12.02.2025;Соответствует;
ПЛП 5;КР М4 км 103-км 117;34;13.02.2025;Штабель складирования на производственной базе ТСМ;ГСК;18.02.2025;Песок по ГОСТ 32824;-;ООО Тульский известняк;19/02/25/1П/1025/М-4;19.02.2025;Соответствует;
ПЛП 5;КР М4 км 103-км 117;40;24.02.2025;Штабель складирования на производственной базе ТСМ;ГСК;25.02.2025;Песок по ГОСТ 32824;-;ООО Юг;26/02/25/1П/1025/М-4;26.02.2025;Соответствует;
ПЛП 5;СТР М-1 км 84 ? км 132 , ТР км 86;86/95;22.12.2024;Штабель ПК 871+00 право;ГСК;22.01.2025;ЩПС С-4 по ГОСТ 25607;-;ООО МаркГео;24/01/25/1Щ/2427/М-1;24.01.2025;Соответствует;
ПЛП 5;КР М4 км 103-км 117;30;03.02.2025;ПК1142+50 (Обратное напраление);ГСК;11.02.2025;Бетонные образцы-кубы;-;ОАО Агросервис;11/02/25/B30/1/1025/М-4;11.02.2025;Соответствует;
ПЛП 5;КР М4 км 103-км 117;37;10.02.2025;ПК1140+00;ГСК;18.02.2025;Бетонные образцы-кубы;-;ОАО Агросервис;18/02/25/B30/2/1025/М-4;18.02.2025;Соответствует;
ПЛП 5;КР М4 км 103-км 117;3;29.01.2025;км104+900;ГСК;18.02.2025;Бетонные образцы-кубы;-;ОАО Агросервис;19/02/25/B35/1/1025/М-4;19.02.2025;Соответствует;
ПЛП 5;КР М4 км 103-км 117;38;14.02.2025;ПК1068+80;ГСК;18.02.2025;Бетонные образцы-кубы;-;ОАО Агросервис;21/01/25/B20/2/1025/М-4;21.02.2025;Соответствует;
ПЛП 5;КР М4 км 103-км 117;3;29.01.2025;км104+900;ГСК;18.02.2025;Бетонные образцы-кубы;-;ОАО Агросервис;26/02/25/B35/1/1025/М-4;26.02.2025;Соответствует;
ПЛП 5;КР М4 км 103-км 117;42;20.02.2025;ПК1146+00;ГСК;25.02.2025;Бетонные образцы-кубы;-;ОАО Агросервис;27/02/25/B30/1/1025/М-4;27.02.2025;Соответствует;
ПЛП 5;КР М4 км 103-км 117;31;05.02.2025;Штабель складирования на производственной базе ТСМ;ГСК;11.02.2025;Щебень фр. 20-40 мм по ГОСТ 8267;-;ООО Барсуковское рудоуправление;12/02/25/1Щ/1025/М-4;12.02.2025;Соответствует;
ПЛП 5;КР М4 км 103-км 117;35;13.02.2025;Штабель складирования на производственной базе ТСМ;ГСК;18.02.2025;Щебень фр. 20-40 мм по ГОСТ 8267;-;ООО Барсуковское рудоуправление;19/02/25/1Щ/1025/М-4;19.02.2025;Соответствует;
ПЛП 5;КР М4 км 103-км 117;32;06.02.2025;Штабель складирования на производственной базе ТСМ;ГСК;11.02.2025;ЩПС С-4 по ГОСТ 25607;-;АО Щебёночный завод Турдейский;12/02/25/2Щ/1025/М-4;12.02.2025;Соответствует;
ПЛП 5;КР М4 км 103-км 117;36;13.02.2025;Штабель складирования на производственной базе ТСМ;ГСК;18.02.2025;ЩПС С-4 по ГОСТ 25607;-;АО Щебёночный завод Турдейский;19/02/25/2Щ/1025/М-4;19.02.2025;Соответствует;
ПЛП 5;КР М4 км 103-км 117;41;24.02.2025;Штабель складирования на производственной базе ТСМ;ГСК;25.02.2025;ЩПС С-4 по ГОСТ 25607;-;АО Щебёночный завод Турдейский;26/02/25/1Щ/1025/М-4;26.02.2025;Соответствует;
ПЛП 5;СТР М-1 км 84 ? км 132 , ТР км 86;86/86-1;05.12.2024;Лоток железобетонных колодцев ЛОСа №8;ГСК;27.12.2024;Бетонные образцы-кубы;-;ООО РБУ 108;09/01/25/В22,5/1/2427/М-1;09.01.2025;Соответствует;
ПЛП 5;СТР М-1 км 84 ? км 132 , ТР км 86;86/88-1;13.12.2024;Блок упора выходного оголовка водопропускной трубы;ГСК;10.01.2025;Бетонные образцы-кубы;-;ООО РБУ 108;10/01/25/В20/1/2427/М-1;10.01.2025;Соответствует;
ПЛП 5;СТР М-1 км 84 ? км 132 , ТР км 86;86/93;17.12.2024;Приемный лоток водосброса;ГСК;14.01.2025;Бетонные образцы-кубы;-;ООО Дэстар;14/01/25/В5/1/2427/М-1;14.01.2025;Соответствует;
ПЛП 5;СТР М-1 км 84 ? км 132 , ТР км 86;86/94;19.12.2024;Основание под фундамент рамной опоры РМП;ГСК;16.01.2025;Бетонные образцы-кубы;-;ООО РБУ 108;16/01/25/В7,5/1/2427/М-1;16.01.2025;Соответствует;
ПЛП 5;СТР М-1 км 84 ? км 132 , ТР км 86;б/н;24.12.2024;ПК 859 лестничный сход;ГСК;27.12.2024;Бетонные образцы-кубы;-;ООО Штарком;09/01/25/В25/1/2427/М-1;09.01.2025;Соответствует;
ПЛП 5;СТР М-1 км 84 ? км 132 , ТР км 86;б/н;24.12.2024;ПК 859 лестничный сход;ГСК;27.12.2024;Бетонные образцы-кубы;-;ООО Штарком;21/01/25/В25/1/2427/М-1;21.01.2025;Соответствует;
ПЛП 5;СТР М-1 км 84 ? км 132 , ТР км 86;86/101;28.01.2025;Штабель ПК 837+50 лево;ГСК;03.02.2025;Песок по ГОСТ 8736;-;ООО Строй-Трейд;05/02/25/1П/2427/М-1;05.02.2025;Соответствует;
ПЛП 5;СТР М-1 км 84 ? км 132 , ТР км 86;86/103;03.02.2025;Штабель ПК 871+00 право;ГСК;07.02.2025;ЩПС С-4 по ГОСТ 25607;-;ООО МаркГео;10/02/25/1Щ/2427/М-1;10.02.2025;Соответствует;
ПЛП 5;СТР М-1 км 84 ? км 132 , ТР км 86;86/100;28.01.2025;ПК 853+00 лево, ПК 867+00 лево, ПК 868+00 лево;ГСК;07.02.2025;Грунт в кольцах ;-;;10/02/25/1К/2427/М-1;10.02.2025;Соответствует;
ПЛП 5;СТР М-1 км 84 ? км 132 , ТР км 86;86/103-1;04.02.2025;ПК 856+07, ПК 856+37, ПК 856+67, ПК 856+05, ПК 856+35, ПК 856+65, ПК 857+20 (лево);ГСК;07.02.2025;Грунт в кольцах ;-;;10/02/25/1К/2427/М-1;10.02.2025;Соответствует;
ПЛП 5;СТР М-1 км 84 ? км 132 , ТР км 86;86/104-1;07.02.2025;Примыкание к СНТ Радуга ПК 1+10;ГСК;07.02.2025;Грунт в кольцах ;-;;10/02/25/2К/2427/М-1;10.02.2025;Соответствует;
ПЛП 5;СТР М-1 км 84 ? км 132 , ТР км 86;86/102;03.02.2025;Штабель ПК 870+50 право;ГСК;07.02.2025;Песок по ГОСТ 8736;-;ООО Строй-Трейд;10/02/25/1П/2427/М-1;10.02.2025;Соответствует;
ПЛП 5;СТР М-1 км 84 ? км 132 , ТР км 86;б/н;20.01.2025;ПК 839 Надземный пешеходный переход. Подферменные площадки опоры №1;ГСК;24.01.2025;Бетонные образцы-кубы;-;ООО Штарком;17/02/25/В35/1/2427/М-1;17.02.2025;Соответствует;
ПЛП 5;СТР М-1 км 84 ? км 132 , ТР км 86;86/104-3;13.02.2025;ПК 852+90, ПК 853+10, ПК 853+70 лево ;ГСК;19.02.2025;Грунт в кольцах ;-;;20/02/25/1К/2427/М-1;20.02.2025;Соответствует;
ПЛП 5;СТР М-1 км 84 ? км 132 , ТР км 86;86/105-1;15.02.2025;Штабель ПК 870+30 право;ГСК;19.02.2025;Щебень фр. 20-40 мм по ГОСТ 8267;-;ООО МаркГео;20/02/25/1Щ/2427/М-1;20.02.2025;Соответствует;
ПЛП 5;СТР М-1 км 84 ? км 132 , ТР км 86;86/105-2;19.02.2025;ПК 854+90, ПК 855+20, ПК 855+50, ПК 854+75, ПК 855+35 (лево);ГСК;19.02.2025;Грунт в кольцах ;-;;20/02/25/2К/2427/М-1;20.02.2025;Соответствует;
ПЛП 5;СТР М-1 км 84 ? км 132 , ТР км 86;б/н;20.01.2025;ПК 839 Надземный пешеходный переход. Подферменные площадки опоры №1;ГСК;24.01.2025;Бетонные образцы-кубы;-;ООО Штарком;27/01/25/В35/1/2427/М-1;27.01.2025;Соответствует;
ПЛП 2;СТР Обход Адлера;1302/-БЕТ2;13.02.2025;Разворотный путепровод через А-149, ОП4 БНС3;ГЛК;21.02.2025;Бетонные образцы-кубы;-;ООО СОЮЗ;17/574;21.02.2025;Соответствует;
ПЛП 2;СТР Обход Адлера;1402/-БЕТ;14.02.2025;Реконструкция путепровода по ул. Ивановская, ШБ1-Л;ГЛК;21.02.2025;Бетонные образцы-кубы;-;ООО ГК ПЕГАС;18/574;21.02.2025;Соответствует;
